Institution Name,Product Name,State,Annual Fee,Rewards,is_student,accepts_itin,Reward_Type
Elevations Credit Union,"Visa Signature Cash Rewards, Visa Signature Travel Rewards, Go Buffs Visa Signature",CO,49,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Elevations Credit Union,"Visa Rewards, Visa, Buff One Visa",CO,,Cashback rewards; Travel-related rewards,FALSE,FALSE,Cashback
Evolve Bank & Trust,Mastercard Consumer Credit Card,,99,Cashback rewards,FALSE,FALSE,Cashback
"Fifth Third Bank, National Association",Fifth Third 1% Cash/Back,,,Cashback rewards,FALSE,FALSE,Cashback
"Fifth Third Bank, National Association",Fifth Third 1.67% Cash/Back & 2% Preferred Cash/Back,,,Cashback rewards,FALSE,FALSE,Cashback
"Fifth Third Bank, National Association",Fifth Third Employee Credit Card,,,Cashback rewards,FALSE,FALSE,Cashback
"Fifth Third Bank, National Association",Fifth Third Secured Credit Card,,24,,FALSE,FALSE,General
"Fifth Third Bank, National Association",Fifth Third Private Bank Credit Card,,,Cashback rewards,FALSE,FALSE,Cashback
First American Bank And Trust,"Visa, Mastercard",LA,,Other rewards,FALSE,FALSE,General
First American Credit Union,First American Credit Union MasterCard Rewards Card,,25,Cashback rewards,FALSE,FALSE,Cashback
First Electronic Bank,H-E-B Visa Signature® Credit Card,,,Cashback rewards,FALSE,FALSE,Cashback
First National Bank,Legacy,,75,,FALSE,FALSE,General
First National Bank Of Omaha,Scheels® Secured Visa® Card,,35,Other rewards,FALSE,FALSE,General
First National Bank Of Omaha,FNBO Secured Visa® Card,,,,FALSE,FALSE,General
